"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Vascular_Fibroblasts","Endothelial","Cxcl12","Cxcr4",0.0360924837662752,0,"CXCL12_CXCR4","Cxcl12  - Cxcr4","CXCL","Secreted Signaling","KEGG: mmu04060"
"Astrocytes","Astrocytes","Mdk","Ptprz1",0.0361378591487949,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Early_Differentiating","Astrocytes","Mdk","Ptprz1",0.0476104738641475,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Interneurons","Astrocytes","Mdk","Ptprz1",0.0362369528639998,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Mitotic_A","Astrocytes","Mdk","Ptprz1",0.0430909938410269,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Mitotic_B","Astrocytes","Mdk","Ptprz1",0.0464651516308053,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Pericytes","Astrocytes","Mdk","Ptprz1",0.0385957003098951,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Purkinje_Cells","Astrocytes","Mdk","Ptprz1",0.0516447195706955,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Red_Blood_Cells","Astrocytes","Mdk","Ptprz1",0.0457341008745281,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Stem_A","Astrocytes","Mdk","Ptprz1",0.0505058891448398,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Stem_B","Astrocytes","Mdk","Ptprz1",0.0458397797953616,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Vascular_Fibroblasts","Astrocytes","Mdk","Ptprz1",0.111905411837522,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Astrocytes","Oligodendrocytes","Mdk","Ptprz1",0.0323818352083896,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
"Early_Differentiating","Oligodendrocytes","Mdk","Ptprz1",0.0427148760482682,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
