"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Vascular_Fibroblasts","Vascular_Fibroblasts","Spp1","ITGA8_ITGB1",0.0129098832622626,0,"SPP1_ITGA8_ITGB1","Spp1  - (Itga8+Itgb1)","SPP1","Secreted Signaling","PMID: 21907263"
"Astrocytes","Vascular_Fibroblasts","Mdk","Sdc2",0.00745223778249189,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Early_Differentiating","Vascular_Fibroblasts","Mdk","Sdc2",0.00993937894680997,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Interneurons","Vascular_Fibroblasts","Mdk","Sdc2",0.00678068505139487,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Mitotic_A","Vascular_Fibroblasts","Mdk","Sdc2",0.00802052665175237,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Mitotic_B","Vascular_Fibroblasts","Mdk","Sdc2",0.00964323351970406,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Purkinje_Cells","Vascular_Fibroblasts","Mdk","Sdc2",0.00947990065695503,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Red_Blood_Cells","Vascular_Fibroblasts","Mdk","Sdc2",0.0088672731523291,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Stem_A","Vascular_Fibroblasts","Mdk","Sdc2",0.0096904700706123,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Stem_B","Vascular_Fibroblasts","Mdk","Sdc2",0.00912091735453612,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Vascular_Fibroblasts","Vascular_Fibroblasts","Mdk","Sdc2",0.0299883445385231,0,"MDK_SDC2","Mdk  - Sdc2","MK","Secreted Signaling","PMID: 28356350"
"Astrocytes","Astrocytes","Mdk","Ptprz1",0.0323327168560765,0,"MDK_PTPRZ1","Mdk  - Ptprz1","MK","Secreted Signaling","PMID: 28356350"
